horizon,model,n,crps_prob,coverage80,calibration_error80,sharpness_width80
1,benchmark_lag123,5184,0.2453475968304697,0.9184027777777778,0.11840277777777775,1.5145056882073267
1,benchmark_roll3,5184,0.2916058630686731,0.8993055555555556,0.09930555555555554,1.7257127896884104
1,grievance_gbm,5184,0.3779465579674638,0.8831018518518519,0.08310185185185182,2.098938912436226
1,grievance_rf,5184,0.3831102495863543,0.8852237654320988,0.08522376543209875,2.1177746296545203
2,benchmark_lag123,5184,0.26088333178480116,0.9170524691358025,0.11705246913580247,1.5958297765109908
2,benchmark_roll3,5184,0.3090187954892809,0.8975694444444444,0.09756944444444438,1.7956874267728387
2,grievance_gbm,5184,0.4099500343786447,0.8784722222222222,0.07847222222222217,2.1969096619257127
2,grievance_rf,5184,0.4171416094623928,0.8836805555555556,0.08368055555555554,2.240573164899481
3,benchmark_lag123,5184,0.26854104641462706,0.9164737654320988,0.11647376543209875,1.6485471096080109
3,benchmark_roll3,5184,0.3147190561169391,0.8960262345679012,0.09602623456790116,1.8424479511991185
3,grievance_gbm,5184,0.43649135453520704,0.8807870370370371,0.08078703703703705,2.3068446883383054
3,grievance_rf,5184,0.4477540693409045,0.878858024691358,0.07885802469135794,2.379303719376143
4,benchmark_lag123,5184,0.2812549386113199,0.9116512345679012,0.11165123456790116,1.6843508920877743
4,benchmark_roll3,5184,0.32487283108132464,0.8950617283950617,0.09506172839506166,1.8916408100179993
4,grievance_gbm,5184,0.4465685496053041,0.8742283950617284,0.0742283950617284,2.303925682520598
4,grievance_rf,5184,0.46160510817903005,0.8742283950617284,0.0742283950617284,2.4117025018088434
5,benchmark_lag123,5184,0.28664817457613784,0.9087577160493827,0.10875771604938267,1.730163610237835
5,benchmark_roll3,5184,0.3306292115746859,0.8958333333333334,0.09583333333333333,1.9151425906627453
5,grievance_gbm,5184,0.4628374939731787,0.8728780864197531,0.07287808641975302,2.3487624409200683
5,grievance_rf,5184,0.4846279176896208,0.8722993827160493,0.0722993827160493,2.532821591964934
6,benchmark_lag123,5184,0.2889459135182786,0.9106867283950617,0.11068672839506166,1.7508392622558238
6,benchmark_roll3,5184,0.3328469471354445,0.8966049382716049,0.09660493827160488,1.9380630415276983
6,grievance_gbm,5184,0.4635501435106942,0.8757716049382716,0.07577160493827151,2.429454517560939
6,grievance_rf,5184,0.4953717994172181,0.8856095679012346,0.08560956790123453,2.713530172719704
7,benchmark_lag123,5184,0.2921817003038227,0.9106867283950617,0.11068672839506166,1.748474373605522
7,benchmark_roll3,5184,0.3344286890220726,0.8958333333333334,0.09583333333333333,1.9374803845894402
7,grievance_gbm,5184,0.4673095801878441,0.8765432098765432,0.07654320987654317,2.445797743945789
7,grievance_rf,5184,0.5073933029970503,0.8844521604938271,0.08445216049382709,2.782177043969612
